112,110,0,0,0,0,1,72,241,43
99,110,0,0,0,0,1,1,90,144
99,110,1,0,0,0,208,255,255,252
99,110,2,0,0,0,255,255,255,359
99,110,3,0,0,0,255,255,255,467
255,128,106,194,226,0,46,101,196,606
32,128,104,160,228,0,116,101,196,702
32,128,110,6,107,0,206,101,196,824
32,128,102,191,39,0,243,101,197,946
17,128,111,55,232,0,192,101,196,1068
32,128,107,243,170,0,144,101,198,1189
66,128,110,6,90,0,136,101,198,1311
66,128,109,85,195,0,6,101,195,1457
183,128,103,142,184,0,39,101,195,1555
183,128,107,243,132,0,33,101,195,1676
183,128,109,85,63,0,170,101,198,1798
66,128,108,100,109,0,148,101,195,1920
183,128,105,145,123,0,160,101,193,2042
213,128,107,243,69,0,127,101,196,2163
32,128,102,191,16,0,239,101,195,2335
183,128,103,142,63,0,170,101,196,2408
32,128,106,194,57,0,240,101,196,2529
32,128,103,142,9,0,66,101,195,2651
183,128,112,90,179,0,61,101,194,2773
134,128,109,85,59,0,41,101,195,2895
183,128,113,107,101,0,163,101,196,3016
32,128,99,74,215,0,235,101,194,3163
134,128,111,55,120,0,141,101,195,3260
183,128,100,221,55,0,157,101,197,3383
17,128,102,191,14,0,236,101,193,3503
213,128,112,90,170,0,144,101,193,3625
213,128,110,6,187,0,10,101,192,3747
228,128,104,160,77,0,72,101,192,3869
228,128,107,243,59,0,41,101,192,4011
228,128,104,160,124,0,14,101,191,4112
50,128,102,191,11,0,155,101,190,4234
3,128,106,194,178,0,201,101,187,4355
246,128,102,191,26,0,1,101,188,4477
97,128,112,90,138,0,76,101,189,4599
80,128,106,194,142,0,207,101,189,4721
80,128,106,194,70,0,82,101,191,4866
50,128,106,194,19,0,194,101,190,4964
3,128,100,221,86,0,60,101,192,5087
228,128,106,194,3,0,172,101,193,5208
213,128,108,100,87,0,200,101,190,5329
3,128,109,85,68,0,139,101,191,5451
50,128,106,194,7,0,47,101,192,5573
228,128,103,142,55,0,157,101,191,5716
50,128,102,191,62,0,94,101,191,5816
50,128,108,100,155,0,214,101,191,5938
50,128,106,194,223,0,220,101,189,6060
80,128,102,191,238,0,154,101,188,6182
97,128,105,145,89,0,165,101,187,6303
246,128,105,145,148,0,79,101,187,6425
246,128,100,221,240,0,153,101,187,6570
246,128,108,100,137,0,97,101,188,6668
97,128,105,145,141,0,226,101,188,6792
97,128,101,236,33,0,169,101,188,6912
97,128,110,6,218,0,171,101,185,7034
148,128,104,160,120,0,141,101,186,7155
199,128,109,85,222,0,40,101,191,11156
50,128,115,9,31,0,118,101,190,11298
3,128,110,6,234,0,25,101,191,11400
50,128,105,145,207,0,178,101,192,11522
228,128,107,243,9,0,66,101,191,11643
50,128,108,100,76,0,188,101,191,11765
50,128,109,85,57,0,240,101,190,11887
3,128,108,100,193,0,223,101,191,12009
50,128,106,194,131,0,143,101,188,12155
97,128,114,56,59,0,41,101,193,12252
213,128,111,55,8,0,182,101,190,12375
3,128,106,194,228,0,116,101,193,12496
213,128,113,107,255,0,0,101,188,12617
97,128,112,90,244,0,26,101,190,12739
3,128,104,160,69,0,127,101,191,12861
50,128,110,6,121,0,121,101,191,13003
50,128,106,194,62,0,94,101,193,13104
213,128,113,107,95,0,255,101,191,13226
50,128,110,6,66,0,209,101,190,13348
3,128,110,6,102,0,142,101,194,13469
134,128,113,107,27,0,245,101,193,13591
213,128,113,107,122,0,84,101,196,13713
32,128,110,6,141,0,226,101,193,13859
213,128,112,90,226,0,46,101,196,13958
32,128,106,194,1,0,117,101,196,14078
32,128,116,158,197,0,92,101,196,14200
32,128,110,6,85,0,17,101,196,14322
32,128,106,194,126,0,215,101,197,14443
17,128,114,56,208,0,69,101,196,14565
32,128,112,90,21,0,152,101,198,14707
66,128,113,107,225,0,3,101,198,14809
66,128,107,243,218,0,171,101,197,14930
17,128,113,107,244,0,26,101,200,15052
93,128,112,90,229,0,128,101,201,15174
108,128,115,9,2,0,88,101,200,15296
93,128,108,100,20,0,108,101,202,15417
63,128,115,9,124,0,14,101,202,15564
63,128,111,55,229,0,128,101,199,15662
115,128,113,107,61,0,115,101,202,15783
63,128,113,107,92,0,210,101,200,15904
93,128,108,100,105,0,23,101,201,16026
108,128,121,210,156,0,120,101,202,16148
63,128,112,90,92,0,210,101,204,16270
153,128,114,56,208,0,69,101,205,16412
168,128,115,9,67,0,37,101,202,16513
63,128,109,85,232,0,192,101,201,16635
108,128,112,90,253,0,217,101,203,16756
14,128,118,252,55,0,157,101,203,16878
14,128,112,90,169,0,189,101,204,17000
153,128,110,6,200,0,28,101,204,17122
153,128,116,158,121,0,121,101,204,17267
153,128,119,205,14,0,236,101,202,17364
63,128,111,55,90,0,136,101,205,17486
168,128,115,9,43,0,71,101,205,17608
168,128,116,158,82,0,191,101,207,17729
202,128,111,55,40,0,106,101,204,17851
153,128,112,90,87,0,200,101,205,17973
168,128,109,85,101,0,163,101,206,18115
251,128,114,56,74,0,230,101,205,18216
168,128,110,6,22,0,181,101,205,18338
168,128,115,9,190,0,125,101,203,18460
14,128,113,107,135,0,12,101,205,18582
168,128,109,85,128,0,162,101,205,18703
168,128,104,160,214,0,31,101,203,18825
14,128,104,160,113,0,78,101,204,18971
153,128,113,107,6,0,219,101,204,19069
153,128,113,107,215,0,235,101,205,19190
168,128,106,194,17,0,27,101,204,19312
153,128,105,145,233,0,52,101,202,19434
63,128,112,90,19,0,194,101,204,19555
153,128,110,6,152,0,251,101,203,19677
14,128,115,9,36,0,222,101,203,19823
14,128,107,243,129,0,86,101,204,19921
153,128,110,6,228,0,116,101,203,20042
14,128,111,55,160,0,126,101,206,20164
251,128,111,55,205,0,107,101,205,20286
168,128,106,194,207,0,178,101,205,20408
168,128,104,160,55,0,157,101,207,20531
202,128,111,55,0,0,129,101,205,20671
168,128,110,6,250,0,119,101,205,20773
168,128,113,107,83,0,75,101,207,20895
202,128,113,107,221,0,5,101,207,21016
202,128,111,55,253,0,217,101,207,21138
202,128,111,55,145,0,56,101,206,21260
251,128,106,194,19,0,194,101,207,21382
202,128,111,55,181,0,103,101,209,21513
150,128,106,194,179,0,61,101,209,21625
150,128,116,158,224,0,247,101,206,21747
251,128,114,56,28,0,91,101,208,21869
167,128,113,107,108,0,96,101,209,21990
150,128,104,160,141,0,226,101,208,22112
167,128,110,6,231,0,89,101,208,22234
167,128,114,56,82,0,191,101,209,22365
150,128,115,9,74,0,230,101,212,22477
99,128,105,145,40,0,106,101,211,22599
244,128,108,100,174,0,19,101,210,22721
197,128,112,90,118,0,224,101,209,22842
150,128,107,243,125,0,250,101,210,22964
197,128,117,175,85,0,17,101,211,23086
244,128,110,6,196,0,168,101,210,23208
197,128,108,100,98,0,13,101,210,23330
197,128,104,160,165,0,9,101,213,23451
