0,11,22,27
1,22,33,128
2,33,44,244
3,44,55,360
4,55,66,476
5,66,77,592
6,77,88,707
7,88,99,824
8,99,0,939
9,0,11,1055
0,11,22,1170
1,22,33,1286
2,33,44,1402
3,44,55,1518
4,55,66,1633
5,66,77,1749
6,77,88,1865
7,88,99,1981
8,99,0,2096
9,0,11,2212
0,11,22,2328
1,22,33,2444
2,33,44,2560
3,44,55,2675
4,55,66,2791
5,66,77,2907
6,77,88,3023
7,88,99,3138
8,99,0,3267
9,0,11,3370
0,11,22,3486
1,22,33,3601
2,33,44,3717
3,44,55,3833
4,55,66,3949
5,66,77,4065
6,77,88,4180
7,88,99,4296
8,99,0,4412
9,0,11,4528
0,11,22,4643
1,22,33,4759
2,33,44,4875
3,44,55,4991
4,55,66,5106
5,66,77,5222
6,77,88,5338
7,88,99,5454
8,99,0,5570
9,0,11,5694
0,11,22,5801
1,22,33,5917
2,33,44,6033
3,44,55,6148
4,55,66,6264
5,66,77,6380
6,77,88,6496
7,88,99,6611
8,99,0,6727
9,0,11,6843
0,11,22,6959
1,22,33,7074
2,33,44,7190
3,44,55,7306
4,55,66,7422
5,66,77,7538
6,77,88,7653
7,88,99,7769
8,99,0,7885
9,0,11,8001
0,11,22,8141
1,22,33,8232
2,33,44,8348
3,44,55,8464
4,55,66,8579
5,66,77,8695
6,77,88,8811
7,88,99,8927
8,99,0,9042
9,0,11,9158
0,11,22,9274
1,22,33,9390
2,33,44,9506
3,44,55,9621
4,55,66,9737
5,66,77,9853
6,77,88,9969
7,88,99,10084
8,99,0,10200
9,0,11,10316
0,11,22,10432
1,22,33,10568
2,33,44,10663
3,44,55,10779
4,55,66,10895
5,66,77,11010
6,77,88,11126
7,88,99,11242
8,99,0,11358
9,0,11,11474
0,11,22,11589
1,22,33,11705
2,33,44,11821
3,44,55,11937
4,55,66,12052
5,66,77,12168
6,77,88,12284
7,88,99,12400
8,99,0,12515
9,0,11,12631
0,11,22,12747
1,22,33,12863
2,33,44,12999
3,44,55,13094
4,55,66,13210
5,66,77,13326
6,77,88,13442
7,88,99,13557
8,99,0,13675
9,0,11,13789
0,11,22,13905
1,22,33,14020
2,33,44,14136
3,44,55,14252
4,55,66,14368
5,66,77,14483
6,77,88,14599
7,88,99,14715
8,99,0,14831
9,0,11,14947
0,11,22,15062
1,22,33,15178
2,33,44,15294
3,44,55,15431
4,55,66,15525
5,66,77,15641
6,77,88,15757
7,88,99,15873
8,99,0,15988
9,0,11,16104
0,11,22,16220
1,22,33,16336
2,33,44,16452
3,44,55,16567
4,55,66,16683
5,66,77,16799
6,77,88,16915
7,88,99,17030
8,99,0,17146
9,0,11,17262
0,11,22,17378
1,22,33,17493
2,33,44,17609
3,44,55,17725
4,55,66,17860
5,66,77,17956
6,77,88,18072
7,88,99,18188
8,99,0,18304
9,0,11,18420
0,11,22,18535
1,22,33,18651
2,33,44,18767
3,44,55,18883
4,55,66,18998
5,66,77,19114
6,77,88,19230
7,88,99,19346
8,99,0,19461
9,0,11,19577
0,11,22,19693
1,22,33,19809
2,33,44,19925
3,44,55,20040
4,55,66,20156
5,66,77,20281
6,77,88,20388
7,88,99,20503
